Speaker,Word,Frequency,Debate
KASICH,bill,1,12_republican_debate.txt
KASICH,economy,2,12_republican_debate.txt
KASICH,send,2,12_republican_debate.txt
KASICH,article,1,12_republican_debate.txt
KASICH,immediate,1,12_republican_debate.txt
KASICH,pull,1,12_republican_debate.txt
KASICH,age,2,12_republican_debate.txt
KASICH,fix,3,12_republican_debate.txt
KASICH,see,3,12_republican_debate.txt
KASICH,remind,1,12_republican_debate.txt
KASICH,rebels,1,12_republican_debate.txt
KASICH,economic,1,12_republican_debate.txt
KASICH,years,8,12_republican_debate.txt
KASICH,solar,1,12_republican_debate.txt
KASICH,force,2,12_republican_debate.txt
KASICH,unity,1,12_republican_debate.txt
KASICH,sword,1,12_republican_debate.txt
KASICH,leave,1,12_republican_debate.txt
KASICH,listen,1,12_republican_debate.txt
KASICH,forward,1,12_republican_debate.txt
KASICH,commanders,1,12_republican_debate.txt
KASICH,partnership,2,12_republican_debate.txt
KASICH,netanyahu,1,12_republican_debate.txt
KASICH,depend,1,12_republican_debate.txt
KASICH,connected,3,12_republican_debate.txt
KASICH,selected,1,12_republican_debate.txt
KASICH,final,1,12_republican_debate.txt
KASICH,donald,1,12_republican_debate.txt
KASICH,economically,1,12_republican_debate.txt
KASICH,refused,1,12_republican_debate.txt
KASICH,four,2,12_republican_debate.txt
KASICH,family,4,12_republican_debate.txt
KASICH,grade,1,12_republican_debate.txt
KASICH,black,1,12_republican_debate.txt
KASICH,instincts,1,12_republican_debate.txt
KASICH,tried,2,12_republican_debate.txt
KASICH,democratic,1,12_republican_debate.txt
KASICH,restore,2,12_republican_debate.txt
KASICH,coming,2,12_republican_debate.txt
KASICH,insiders,1,12_republican_debate.txt
KASICH,still,3,12_republican_debate.txt
KASICH,security,10,12_republican_debate.txt
KASICH,russians,1,12_republican_debate.txt
KASICH,starting,1,12_republican_debate.txt
KASICH,dumping,1,12_republican_debate.txt
KASICH,allow,3,12_republican_debate.txt
KASICH,issue,3,12_republican_debate.txt
KASICH,young,2,12_republican_debate.txt
KASICH,directly,1,12_republican_debate.txt
KASICH,sensitive,2,12_republican_debate.txt
KASICH,raise,1,12_republican_debate.txt
KASICH,principles,1,12_republican_debate.txt
KASICH,learning,1,12_republican_debate.txt
KASICH,like,5,12_republican_debate.txt
KASICH,understand,6,12_republican_debate.txt
KASICH,deals,1,12_republican_debate.txt
KASICH,math,1,12_republican_debate.txt
KASICH,pursuing,1,12_republican_debate.txt
KASICH,provided,1,12_republican_debate.txt
KASICH,blinds,1,12_republican_debate.txt
KASICH,combat,1,12_republican_debate.txt
KASICH,every,2,12_republican_debate.txt
KASICH,linked,1,12_republican_debate.txt
KASICH,trade,7,12_republican_debate.txt
KASICH,day,2,12_republican_debate.txt
KASICH,sometimes,2,12_republican_debate.txt
KASICH,working,3,12_republican_debate.txt
KASICH,unwavering,1,12_republican_debate.txt
KASICH,promise,1,12_republican_debate.txt
KASICH,problems,3,12_republican_debate.txt
KASICH,americans,3,12_republican_debate.txt
KASICH,national,1,12_republican_debate.txt
KASICH,future,1,12_republican_debate.txt
KASICH,concerns,1,12_republican_debate.txt
KASICH,negotiate,1,12_republican_debate.txt
KASICH,law,2,12_republican_debate.txt
KASICH,pentagon,3,12_republican_debate.txt
KASICH,way,6,12_republican_debate.txt
KASICH,flying,1,12_republican_debate.txt
KASICH,comes,7,12_republican_debate.txt
KASICH,ukraine,1,12_republican_debate.txt
KASICH,benefit,1,12_republican_debate.txt
KASICH,excuse,1,12_republican_debate.txt
KASICH,k,1,12_republican_debate.txt
KASICH,story,1,12_republican_debate.txt
KASICH,entire,1,12_republican_debate.txt
KASICH,basket,1,12_republican_debate.txt
KASICH,countries,2,12_republican_debate.txt
KASICH,making,1,12_republican_debate.txt
KASICH,sources,1,12_republican_debate.txt
KASICH,rattling,1,12_republican_debate.txt
KASICH,tomorrow,1,12_republican_debate.txt
KASICH,alone,1,12_republican_debate.txt
KASICH,rally,1,12_republican_debate.txt
KASICH,business,1,12_republican_debate.txt
KASICH,digging,1,12_republican_debate.txt
KASICH,want,16,12_republican_debate.txt
KASICH,expedited,1,12_republican_debate.txt
KASICH,goodness,1,12_republican_debate.txt
KASICH,growth,1,12_republican_debate.txt
KASICH,middle,1,12_republican_debate.txt
KASICH,syria,1,12_republican_debate.txt
KASICH,fact,8,12_republican_debate.txt
KASICH,battle,1,12_republican_debate.txt
KASICH,parents,1,12_republican_debate.txt
KASICH,blue,1,12_republican_debate.txt
KASICH,closer,2,12_republican_debate.txt
KASICH,humans,1,12_republican_debate.txt
KASICH,trump,1,12_republican_debate.txt
KASICH,also,6,12_republican_debate.txt
KASICH,nuclear,1,12_republican_debate.txt
KASICH,downsized,1,12_republican_debate.txt
KASICH,away,2,12_republican_debate.txt
KASICH,wipe,1,12_republican_debate.txt
KASICH,agreements,1,12_republican_debate.txt
KASICH,destroy,1,12_republican_debate.txt
KASICH,energy,3,12_republican_debate.txt
KASICH,parental,1,12_republican_debate.txt
KASICH,without,1,12_republican_debate.txt
KASICH,advantage,1,12_republican_debate.txt
KASICH,pardoning,1,12_republican_debate.txt
KASICH,bar,1,12_republican_debate.txt
KASICH,bring,1,12_republican_debate.txt
